Day,Advances,Declines,Advance_Decline_Ratio,Open,High,Low,Close,Today_Close,Gap,5d_Movement,Awosc,Acosc,SMA_5,SMA_20,EMA_12,EMA_26,MACD,RSI_14,Stoch_%K,BB_Upper,BB_Lower,ATR_14,Body_Size,High_Low_Range,Close_Position,AD_Ratio,Advance_Decline_Diff,Return_1d,Volume_1d,Return_2d,Volume_2d,Return_3d,Volume_3d,Return_5d,Volume_5d,Daily_Return,Rolling_Vol_5
2019-02-21,1218.0,571.0,2.13,10744.1,10808.85,10721.5,10789.85,10789.85,0,0,-122.73867647058978,-37.726058823530906,10699.0,10807.3825,10772.809503522969,10808.944268877654,-36.13476535468544,48.60560102961495,38.351018875011825,11071.996757505147,10542.768242494853,117.97330309655437,0.004258150985191873,0.008130043465716101,0.7824842587292511,2.1330998248686517,647.0,0.005067323679957436,1119.0,0.017492821342184994,1024.0,0.013993111517298651,583.0,0.004075916266907509,854.0,0.005067323679957436,0.007928387214069755
2019-02-22,1226.0,589.0,2.08,10782.7,10801.55,10758.4,10791.65,10791.65,1,1,-106.97411764705976,-5.386852941177125,10712.45,10807.9375,10775.708041442513,10807.663211923755,-31.95517048124202,48.73029936976498,38.68907878674049,11072.370816499642,10543.504183500358,112.62878144680046,0.0008300332940728118,0.0040017806300833405,0.770567786790273,2.0814940577249574,637.0,0.00016682344981622244,1218.0,0.005234992478191369,1119.0,0.01766256300480462,1024.0,0.006270747081421835,642.0,0.00016682344981622244,0.007790925471956774
2019-02-25,1111.0,691.0,1.61,10813.25,10887.1,10788.05,10880.1,10880.1,0,1,-80.10455882352835,25.696500000001464,10760.28,10818.865,10791.76834275905,10813.028899929403,-21.260557170353422,54.56412914862431,55.30096722696973,11076.164364748536,10561.565635251463,111.65886848631479,0.006182230134325976,0.00916005826185477,0.929328621908128,1.6078147612156295,420.0,0.00819615165428833,1226.0,0.008364342414398651,1218.0,0.013474050924739966,1119.0,0.022474497107870972,583.0,0.00819615165428833,0.006277266300926714
2019-02-26,610.0,1188.0,0.51,10775.3,10888.75,10729.3,10835.3,10835.3,1,1,-49.12382352941495,47.117647058821234,10806.470000000001,10828.02,10798.465520796119,10814.678611045743,-16.213090249624656,51.375431689592794,46.88703164616383,11073.715511558516,10582.324488441485,115.07252073729236,0.0055682904420294565,0.014797731849693348,0.6647851991219788,0.5134680134680135,-578.0,-0.004117609213150741,1111.0,0.004044793891573528,1226.0,0.004212292107860449,1218.0,0.021778798323329518,1024.0,-0.004117609213150741,0.006494449196513646
2019-02-27,849.0,955.0,0.89,10881.2,10939.7,10751.2,10806.65,10806.65,1,1,-20.38132352941284,55.48317647058829,10820.71,10835.7625,10799.72467144287,10814.08389911643,-14.359227673559872,49.387706938370876,48.51278674130161,11068.156856375108,10603.368143624893,120.31734068462863,0.006851266404440786,0.017323456971657537,0.29416445623341597,0.8890052356020942,-106.0,-0.0026441353723477556,610.0,-0.006750857069328431,1111.0,0.00138996353662324,1226.0,0.006632232463473775,1119.0,-0.0026441353723477556,0.005194582171855793
2019-02-28,1076.0,697.0,1.54,10865.7,10865.7,10784.85,10792.5,10792.5,1,1,-9.258382352942135,43.91005882352947,10821.24,10833.84,10798.613183528581,10812.48509177447,-13.871908245888335,48.39186678310386,58.42395141929099,11066.996706101283,10600.683293898717,117.4982449214409,0.006736795604517033,0.007440845964825125,0.09461966604823255,1.5437589670014347,379.0,-0.0013093789472222728,849.0,-0.003950052144379823,610.0,-0.008051396586428505,1111.0,0.00024560119000716085,1218.0,-0.0013093789472222728,0.004817891843496273
2019-03-01,1432.0,380.0,3.77,10842.65,10877.9,10823.1,10863.5,10863.5,1,1,1.8958823529392248,33.29032352941103,10835.609999999999,10832.3325,10808.595770678032,10816.26397386525,-7.668203187218751,53.462481220453945,78.47761615591004,11064.309773186405,10600.355226813595,115.20551314133796,0.0019229616376070762,0.005054114999561848,0.7372262773722659,3.768421052631579,1052.0,0.006578642575862936,1076.0,0.0052606496925504675,849.0,0.0026026044502691636,610.0,0.006657925340425308,1226.0,0.006578642575862936,0.005637557774517387
2019-03-05,1540.0,336.0,4.58,10864.85,10994.9,10817.0,10987.45,10987.45,1,1,13.550294117649173,26.213764705885477,10857.08,10836.0925,10836.111805958335,10828.944420245602,7.167385712733449,60.718570086698136,98.17959682345781,11075.449620794432,10596.73537920557,119.68369077409952,0.011284095040428571,0.016373902999120983,0.9581225407532382,4.583333333333333,1204.0,0.011409766649790543,1432.0,0.018063470002316562,1076.0,0.0167304391277594,849.0,0.00986663725517234,1111.0,0.011409766649790543,0.0066979741856686235
2019-03-06,1246.0,617.0,2.02,11024.85,11062.3,10998.85,11053.0,11053.0,1,1,54.09411764705874,46.1140000000003,10900.62,10842.025,10869.479220426283,10845.541129857038,23.938090569245105,63.92225368092144,98.04888282807106,11096.249150111667,10587.800849888332,116.48128429023517,0.002553322720944016,0.005755180342589596,0.8534278959810964,2.0194489465153973,629.0,0.005965897455733504,1540.0,0.01744373360335061,1432.0,0.024137132267778583,1076.0,0.020091737192325043,610.0,0.005965897455733504,0.005868407613454077
2019-03-07,871.0,940.0,0.93,11077.95,11089.05,11027.1,11058.2,11058.2,0,1,91.60661764705947,61.228911764706574,10950.93,10841.8125,10898.513186514547,10861.293638756517,37.219547758029876,64.17188645427252,93.87167262614251,11095.305355668557,10588.319644331443,112.58619255521829,0.0017828208287634444,0.0055921898907287815,0.5020177562550591,0.926595744680851,-69.0,0.00047046050845933607,1246.0,0.006439164683343268,1540.0,0.01792240069959039,1432.0,0.023277333863870986,849.0,0.00047046050845933607,0.005102078429227568
