Day,Advances,Declines,Advance_Decline_Ratio,Open,High,Low,Close
05/09/2024,"1,556","1,141",1.36,25250.5,25275.45,25127.75,25145.1
06/09/2024,747,"1,969",0.38,25093.7,25168.75,24801.3,24852.15
09/09/2024,986,"1,751",0.56,24823.4,24957.5,24753.15,24936.4
10/09/2024,"1,843",867,2.13,24999.4,25130.5,24896.8,25041.1
11/09/2024,926,"1,787",0.52,25034,25113.7,24885.15,24918.45
12/09/2024,"1,680","1,006",1.67,25059.65,25433.35,24941.45,25388.9
13/09/2024,"1,700","1,043",1.63,25430.45,25430.5,25292.45,25356.5
16/09/2024,"1,374","1,399",0.98,25406.65,25445.7,25336.2,25383.75
17/09/2024,"1,072","1,674",0.64,25416.9,25441.65,25352.25,25418.55
18/09/2024,891,"1,876",0.47,25402.4,25482.2,25285.55,25377.55
19/09/2024,790,"1,961",0.4,25487.05,25611.95,25376.05,25415.8
20/09/2024,"1,779",959,1.86,25525.95,25849.25,25426.6,25790.95
23/09/2024,"1,723","1,061",1.62,25872.55,25956,25847.35,25939.05
24/09/2024,"1,291","1,477",0.87,25921.45,26011.55,25886.85,25940.4
25/09/2024,"1,131","1,637",0.69,25899.45,26032.8,25871.35,26004.15
26/09/2024,"1,157","1,606",0.72,26005.4,26250.9,25998.4,26216.05
27/09/2024,"1,369","1,390",0.98,26248.25,26277.35,26151.4,26178.95
30/09/2024,"1,088","1,701",0.64,26061.3,26134.7,25794.1,25810.85
01/10/2024,"1,596","1,151",1.39,25788.45,25907.6,25739.2,25796.9
03/10/2024,587,"2,211",0.27,25452.85,25639.45,25230.3,25250.1
04/10/2024,959,"1,831",0.52,25181.9,25485.05,24966.8,25014.6
07/10/2024,334,"2,502",0.13,25084.1,25143,24694.35,24795.75
08/10/2024,"2,178",594,3.67,24832.2,25044,24756.8,25013.15
09/10/2024,"1,831",925,1.98,25065.8,25234.05,24947.7,24981.95
10/10/2024,"1,484","1,257",1.18,25067.05,25134.05,24979.4,24998.45
11/10/2024,"1,420","1,322",1.07,24985.3,25028.65,24920.05,24964.25
14/10/2024,"1,375","1,404",0.98,25023.45,25159.75,25017.5,25127.95
15/10/2024,"1,322","1,438",0.92,25186.3,25212.05,25008.15,25057.35
16/10/2024,"1,378","1,390",0.99,25008.55,25093.4,24908.45,24971.3
17/10/2024,671,"2,065",0.32,25027.4,25029.5,24728.9,24749.85
18/10/2024,"1,303","1,443",0.9,24664.95,24886.2,24567.65,24854.05
21/10/2024,666,"2,130",0.31,24956.15,24978.3,24679.6,24781.1
22/10/2024,281,"2,535",0.11,24798.65,24882,24445.8,24472.1
23/10/2024,"1,557","1,196",1.3,24378.15,24604.25,24378.1,24435.5
24/10/2024,966,"1,771",0.55,24412.7,24480.65,24341.2,24399.4
25/10/2024,419,"2,364",0.18,24418.05,24440.25,24073.9,24180.8
28/10/2024,"1,866",942,1.98,24251.1,24492.6,24134.9,24339.15
29/10/2024,"1,664","1,089",1.53,24328.85,24484.5,24140.85,24466.85
30/10/2024,"2,062",685,3.01,24371.45,24498.2,24307.3,24340.85
31/10/2024,"1,730",995,1.74,24349.85,24372.45,24172.6,24205.35
01/11/2024,"2,289",381,6.01,24302.75,24368.25,24280.2,24304.35
04/11/2024,669,"2,156",0.31,24315.75,24316.75,23816.15,23995.35
05/11/2024,"1,759","1,012",1.74,23916.5,24229.05,23842.75,24213.3
06/11/2024,"2,176",626,3.48,24308.75,24537.6,24204.05,24484.05
07/11/2024,"1,051","1,737",0.61,24489.6,24503.35,24179.05,24199.35
08/11/2024,835,"1,939",0.43,24207.7,24276.15,24066.65,24148.2
11/11/2024,859,"1,960",0.44,24087.25,24336.8,24004.6,24141.3
12/11/2024,648,"2,132",0.3,24225.8,24242,23839.15,23883.45
13/11/2024,321,"2,471",0.13,23822.45,23873.6,23509.6,23559.05
14/11/2024,"1,436","1,343",1.07,23542.15,23675.9,23484.15,23532.7
18/11/2024,"1,045","1,768",0.59,23605.3,23606.8,23350.4,23453.8
19/11/2024,"1,771","1,016",1.74,23529.55,23780.65,23464.8,23518.5
21/11/2024,752,"2,048",0.37,23488.45,23507.3,23263.15,23349.9
22/11/2024,"1,883",892,2.11,23411.8,23956.1,23359,23907.25
25/11/2024,"1,930",883,2.19,24253.55,24351.55,24135.45,24221.9
26/11/2024,"1,578","1,188",1.33,24343.3,24343.3,24125.4,24194.5
27/11/2024,"1,893",862,2.2,24204.8,24354.55,24145.65,24274.9
28/11/2024,"1,477","1,294",1.14,24274.15,24345.75,23873.35,23914.15
29/11/2024,"1,752","1,034",1.69,23927.15,24188.45,23927.15,24131.1
02/12/2024,"1,782","1,047",1.7,24140.85,24301.7,24008.65,24276.05
03/12/2024,"2,044",760,2.69,24367.5,24481.35,24280,24457.15
04/12/2024,"1,655","1,122",1.48,24488.75,24573.2,24366.3,24467.45
05/12/2024,"1,447","1,316",1.1,24539.15,24857.75,24295.55,24708.4
06/12/2024,"1,671","1,119",1.49,24729.45,24751.05,24620.5,24677.8
09/12/2024,"1,496","1,324",1.13,24633.9,24705,24580.05,24619
10/12/2024,"1,381","1,405",0.98,24652.65,24677.8,24510.65,24610.05
11/12/2024,"1,491","1,288",1.16,24620.5,24691.75,24583.85,24641.8
